Qualification Code;Phases Code;Phases Description;Subject Code;Subject Credits;Notional Hours;Periods per Topic;Subject Decription;Topic Code;Topic Description;Assessment Criteria Number;Assesment Criteria Description;LPN;Lesson Plan Description 
90420;652302001-KM-03;Machining Theory;KM-03-KT03;9;90;15;Principles, methods and techniques of machining work pieces with a milling machine;KT0305;Tool selection;AC 103;Explain how tools are identified and selected according to the application of the milling machine;LPN 110;Tool selection
90420;652302001-KM-03;Machining Theory;KM-03-KT03;9;90;15;Principles, methods and techniques of machining work pieces with a milling machine;KT0306;Indexing (dividing head and differential);AC 104;Explain the Indexing and indexing calculations of a Milling machine;LPN 111;Indexing (dividing head and differential)
90420;652302001-KM-03;Machining Theory;KM-03-KT04;3,6;36;6;Types and working principles of pedestal grinding machine;KT0401;Working principles of a pedestal-grinding machine;AC 105;Explain the working principles of a pedestal grinding machine;LPN 112;Working principles of a pedestal-grinding machine
90420;652302001-KM-03;Machining Theory;KM-03-KT04;3,6;36;6;Types and working principles of pedestal grinding machine;KT0402;Grinding machine types, parts and attachments;AC 106;Identify and explain the types, parts and attachments of a pedestal grinding machine in mechanical engineering;LPN 113;Grinding machine types, parts and attachments
90420;652302001-KM-03;Machining Theory;KM-03-KT04;3,6;36;6;Types and working principles of pedestal grinding machine;KT0403;Terminology and components;AC 107;Explain what are the components of a pedestal grinding machine;LPN 114;Terminology and components
90420;652302001-KM-03;Machining Theory;KM-03-KT04;3,6;36;6;Types and working principles of pedestal grinding machine;KT0404;Wheel selection;AC 108;Explain Wheel selection of a pedestal grinding machine according to purpose;LPN 115;Wheel selection
90420;652302001-KM-03;Machining Theory;KM-03-KT04;3,6;36;6;Types and working principles of pedestal grinding machine;KT0405;Balancing, mounting and dressing;AC 109;Explain the balancing, mounting and dressing procedures of pedestal grinding machine;LPN 116;Balancing, mounting and dressing
90420;652302001-KM-03;Machining Theory;KM-03-KT05;9;90;15;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;KT0501;Working principles of surface and cylindrical grinding machines;AC 110;Explain the working principles of surface and cylindrical grinding in mechanical engineering;LPN 117;Working principles of surface and cylindrical grinding machines
90420;652302001-KM-03;Machining Theory;KM-03-KT05;9;90;15;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;KT0502;Terminology and components of surface and cylindrical grinding machines;AC 111;Identify and explain the components of surface and cylindrical grinding machines in mechanical engineering;LPN 118;Terminology and components of surface and cylindrical grinding machines
90420;652302001-KM-03;Machining Theory;KM-03-KT05;9;90;15;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;KT0503;Off-hand and precision grinding cutting procedures for cylindrical and surface grinding machines;AC 112;Explain procedures used by surface and cylindrical machines in mechanical engineering;LPN 119;Off-hand and precision grinding cutting procedures for cylindrical and surface grinding machines
90420;652302001-KM-03;Machining Theory;KM-03-KT05;9;90;15;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;KT0504;Speeds and feeds;AC 113;Explain how the speeds and feeds for surface and cylindrical grinding machines are calculated ;LPN 120;Speeds and feeds
90420;652302001-KM-03;Machining Theory;KM-03-KT05;9;90;15;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;KT0505;Grinding wheel selection, classification, bonding types and wheel markings, profiles;AC 114;Explain the grinding wheel selection, classification, bonding types, wheel markings, and profiles of surface and cylindrical machines in mechanical engineering;LPN 121;Grinding wheel selection, classification, bonding types and wheel markings, profiles
90420;652302001-KM-03;Machining Theory;KM-03-KT05;9;90;15;Principles, methods and techniques of machining work pieces with surface and cylindrical grinding machines;KT0506;Grinding faults Internal Assessment Criteria;AC 115;Grinding operations for flat and cylindrical grinding are explained;LPN 122;Grinding faults Internal Assessment Criteria
