Qualification Code;Learning Phases;Phases Code;Phases Description;Phases Purpose;Phases Credits;Phases NQF Level;Phases Percentage
90420;Knowledge Learning;652302000-KM-01;Basic engineering;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;32;3;6,45
90420;Knowledge Learning;652302001-KM-02;Fitting Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;38;4;6,45
90420;Knowledge Learning;652302001-KM-03;Machining Theory;The main focus of the learning in this knowledge module is the introduction to basic engineering concepts commonly associated with mechanical engineering trades;36;4;6,45
90420;Practical Learning;652302000-PM-01;Fabricate simple components or work pieces using basic hand skills and hand tools;The focus of the learning in this module is on providing the learner with an opportunity to develop basic engineering hand skills by fabricating a range of simple mechanical components to specifications, using hand tools;147;4;24,05
90420;Workplace Experience;652302000-WM-01;Fabrication processes in an engineering workshop;The focus of the work experience is on providing the learner an opportunity to gain structured experience under guidance of a qualified artisan and mentor in the workplace related to the fabrication of a range of mechanical components that meet specifications within expected time frames as a member of a team;253;4;46,17
